白葱 1/2~1本
水 ４００ｃｃ
砂糖 大さじ３
☆シナモン 小1/2
塩 小さじ１／２
*柚子 輪切り２枚
栗の甘露煮 １P（８粒ぐらい）
塩 小さじ１
ポン酢 大さじ３
はんぺん 2枚（80グラム×2枚）
レモン汁 少々
昆布 適量
※　お酢 50ｃｃ
黒砂糖 50g位
紫芋 ４００ｇ（中位のサイズを１本）
たまりしょうゆ 100cc
スライスチーズ（とろけるタイプ） 1枚
砂糖 100ｇ（大さじ12）
明太子 小一腹
　だし 1/2カップ
栗の甘露煮 １ビン（100ｇ）
こんにゃく １枚
にんにく(芯を取り包丁の平らなところで叩く) ２片
塩 小さじ2/3
しょうが １かけ
長ねぎ 青い部分3本分
牛乳 １５０cc
はんぺん 1枚(90g)
ゼラチン 小さじ1杯
出汁 60cc（大さじ4）（卵の50％）
ほんだし®こんぶだし 1袋（8g）
◎バター １００ｇ
鶏もも肉 1枚
人参 ４個
昆布だし ５０ｃｃ
砂糖 ７０ｇ
西京味噌 １００ｇ
スモークサーモン 4枚くらい
グラニュー糖 130g
番茶 ティーバッグ2つ
水 50cc
いくら 適量
グラニュー糖 90g
薄力粉 50ｇ
帆立 ３個
干しシイタケ 適当
人参 2本
ネギ 半分
ニンニク １カケ〜２カケくらい
揚げ油 適量
塩・胡椒 少々
・ほうれん草 ２〜３枚分
牛乳 ２００ｃｃ
皮むきじゃが芋 3個300ｇ
栗の甘露煮 ２びん(１びんが10粒くらいのもの)
Aきなこ ２５ｇ
ブラックペッパー 少々
醤油 大匙2～3（お味付き難い物なので多いです）
A砂糖 ５ｇ
きび砂糖 60g
ご飯 1合
干し椎茸 大２枚
ブランデー 小さじ　１
酒 大さじ1
きなこ 適量
味噌 小1
板こんにゃく １枚
白ごまペースト 大２
なめたけ120g瓶 1本
ポン酢 大さじ２
砂糖 ７０ｇ
塩 少々
生椎茸 4枚
玉葱 1/2個
酒 大さじ1
酒(出来れば清酒) 60cc
大根 人参の2倍
カニ缶 小さじ１杯づつ位
里芋（京芋などでも可） 5個
お酒 大さじ１
豚挽き肉 100g
ねぎ １／２本
みかんの缶詰 小１つ
むき海老 6尾
砂糖 ６０ｇ
グラニュー糖 60g
●しいたけ ２枚
しょう油 お好みで垂らす
ｵﾚﾝｼﾞﾏｰﾏﾚｰﾄﾞｼﾞｬﾑ 300ｇ前後の瓶×1
アンチョビ ３尾位
すりごま たっぷり
卵 2個
早煮昆布 3~4枚くらい
ごぼう 30cm
お酢 小さじ１
オリーブオイル 大さじ１
砂糖 35ｇ
シーチキン １缶
水 １カップ
グラニュー糖● ３０ｇ
無塩バター ５０グラム
ヨーグルト １００ｇ
三つ葉 １／２束
おせちの残りの煮物 2.3個
サツマイモ 1.5本
＊バター 100グラム
A酒 大さじ１．５
パスタ茹で用塩 小さじ１
砂糖 小１・１/２
●コーン缶 １/３缶
さつまいも 大１本
ベーコン １～２枚
●数の子 １本
豚赤身薄切り肉(しゃぶしゃぶ用が合う) 100g
☆しょうゆ ５０cc
かぶ 大玉1個
塩（天然塩） 35g
クリームチーズ １００ｇ
たまねぎ １～３個
薄力粉 ３０ｇ
卵 1個
★　砂糖 ３０ｇ
☆タマネギ 正味約100g
カカオマス ２５ｇ
＊くるみ 大さじ1半
砂糖 大さじ１と１／２
ベーコンまたはハム 100g
☆マヨネーズ 大1
昆布 １００ｇ
イカのワタ ４ハイ分
みじんぎりにした玉ねぎ 1/2個
蓮根 100g
☆水 ２００ｃｃ
玉ねぎ（ここでは紫玉ねぎ使用） 1/2個
graind almond 25g
キャノーラ油かオリーブ油 適量〔大さじ１か２）
vegetable 適量
じゃがいも ２こ
水 100cc
栗の甘露煮 １瓶
牛肉 150g
アボカド 1個
☆抹茶 5g
ニッスイ｢おさかなのソーセージ｣ 1/3〜1/2本
玉葱 中２個
玄米パスタ １００ｇほど
全粒粉 １７０ｇ
生クリーム ２００ｃｃ
玉ねぎ １こ
切餅 1個
ビスケット ４０g
ｸﾘｰﾑﾁｰｽﾞ 1箱(250g)
ブロッコリー 1/4個
蕪 大２個
ブロッコリー １本
卵 １個
ｸﾚｲｼﾞｰｿﾙﾄ 小さじ1〜
梅干 小さめ１つ（大きめなら半分）
スライスチーズ（とろけないタイプ） １枚
 2400cc
あんこ 好きなだけ
合挽き肉 200ｇ
☆マヨネーズ 大1弱
米 １合
はんぺん 50g
オリーブオイル 大さじ1～
薩摩芋 適量
木綿豆腐 50g
塩 小１／２
粉糖（又は白砂糖） 30g
☆ケチャップ 大1
A玉ねぎ 1/4個（すりおろし）
卵黄 ３個
ｺｰﾝﾌﾚｰｸ ３０ｇ
はちみつ 好きなだけ
顆粒うどんスープの元 １杯分
人参 3分の1本
抹茶 １０ｇ
薄力粉 120ｇ
牛乳（なければ水） ちょっとづつ入れて軽くとろみがでるくらい
めんつゆ 1カップ
お茶漬けの素（今回は鮭でやりました） 1袋
豚バラ薄切り肉 ４枚
ベーキングパウダー 小３
蜜柑 １個
小松菜 １/２袋
寿司太郎 二人分（一袋）
栗の甘露煮 ５個
黒豆 ５６粒
油 大さじ２くらい
卵 2個
三温糖（なければ普通の砂糖で☆） １５０ｇ
鶏もも肉 1/2〜1枚
◆粉砂糖 60g
ベーコン ３枚
鶏ミンチ ２００ｇ
シーチキン １缶
●水 カップ１０
片栗粉 大さじ１～２
モッツァレラチーズ 丸い玉２分の１
※ねぎ １／４本分
★砂糖 170ｇ
　砂糖 大２・1/2～大3　(25～30g)
生クリーム　（脂肪分35%のもの使用してます） 1パック(200ml）
塩コショウ 少々
砂糖 適量食べて甘い位
ベーコン ３枚
ネギ ２分の１
ケチャップ 大さじ３
片栗粉 40g
油 大3
砂糖 小さじ1.5
ドライイースト ７グラム
玉ねぎ 80g
塩 適宜
かまぼこ １枚
鶏胸肉 適当
砂糖（ざらめ） ２５０ｇ（豆g×0.82）
くるみ 130グラム(スライスアーモンドの場合は100グラム)
ごぼう 1/2本から1本
煮しめ色々 適量
ホワイトリカー（焼酎　３５度のもの） １．８ℓ
バター(有塩) 100g
抹茶 大1
砂糖 60ｇ～
鶏手羽中（又は手羽先） 6～7本(1パック）
★オイスターソース 大さじ1.5
☆きんとん 大さじ２
カニの身 適量
さつまいも(金時) 500g(皮付状態で計量)
○全粒粉 ４０g
長芋(山芋でも) １５センチ
はちみつ 大匙3
くるみ 50ｇ
★わさびチューブ ２ｃｍ
砂糖 200g
炒りごま 大匙3
顆粒だし 小さじ3くらい
　①長ネギ ３本
和風だし(液体) 1カップ弱
黒豆の煮汁 60～80cc
蓮根 １ｃｍ輪切り
ゆで卵 １個
ウインナー 2～3本
卵(L) 2個
干し椎茸 4枚
塩 大さじ1/2
マヨネーズ 好きなだけ
強力粉 ２７０グラム
砂糖 大匙２？（お好みで）
ベーコン ４枚
とろけるスライスチーズ 1枚
たらこ 1／2腹
乾燥昆布 15cm四方程度
ねりからし(チューブタイプ) 好きな量
そうめん １束
クレイジーソルト(ハーブソルト) 適量
牛乳・・・Ａ ２００ｃｃ
ももの缶詰 1個
塩昆布 大さじ１
にんじん 50グラムぐらい
小麦粉 250ｇ
はんぺん 大きめ２枚
ごぼう 1本
お水 500ｍｌ
玉ねぎ 1/2個
小麦粉 100g
☆水 70ｃｃ
鯛 １匹
昆布でひいただし 100ｃｃ
☆顆粒だし 小さじ1
生クリーム 200ml
米 3合
にら 半束
☆しょうゆ 大さじ1
かんぴょう 8本
（マリネ液） ID999425参照
とき卵 ２個分
醤油 大さじ２
パスタ 100ｇ
*味噌 大1
※普通のトマトを一口大カットでもOK 1〜2個
みりん 300ml
マーマレードジャム １瓶（１２０ｇ～１５０ｇ）
ネギ １本
はちみつ 大さじ1～2
にんにく 1/2片
豆乳（無調整・調整どちらでも） 300cc
はちみつ お好みで
大根（☆） ４分の１本
数の子 ２本程度
バター 小さじ１
片栗粉 適量
ドライイースト ６ｇ
赤リンゴ 小１個
栗きんとん(やわらかいもの） 50g 
塩 適量
ピザトーストのソース お好みで
生クリーム 100ｃｃ
バター ２０ｇ
☆砂糖 １００ｇ
タマネギ 30グラム
クリームチーズ 230g
水 1リットル
玉ねぎ 1/2個 (100g)
ブロッコリー よく見かけるの１個
市販のカレールウ 3～4個
ザラメ 200グラム
蜂蜜 大さじ１～２
にんじん １／２本
黒砂糖 70g(40ｇ)
醤油 大さじ１弱
玉ねぎ 1/2個
ベーコン 100g
豚肉（しゃぶしゃぶ用） ４枚くらい
しょうゆ 大１
人参スライス(型抜き後の周り部分) 4枚分
ゆであずき（缶詰など） 50g
薄力粉 100ｇ(粉全量　40％)
牛蒡の八幡まき（なければ☆で） ４本
※白菜キムチ ８０ｇ
生しいたけ 5～6枚
人参 1/2本
ゼラチン 10ｇ
蜂蜜 大さじ１～２
砂糖 大さじ2
水菜 ３束
7-11　玉子(１０個入)　@208- 3個使用
お酢 100ｃｃ
marmite 適量
■パプリカ（赤・黄色） 半分ずつ
小麦粉 40g(大さじ4強）
卵 一個
しょうゆ 大さじ2
ほうれん草 大さじ1/2
塩 小さじ２
豆乳 200cc
砂糖 大匙２
卵 ２個
薄口醤油 大匙４
オリーブオイル（サラダオイルでもいい） 保存容器８分目
塩コショウ 適量
きんかん 砂糖、水
きなこ 大さじ２
にんじん １/２本
★インスタントドライイースト 小さじ３/４
酒 少々
しょうゆ 保存容器８分目
ヨーグルト 適量
☆しょうが(せん切り) 1かけ
シエロオリーブオイル 小さじ１
黒豆 豆250ｇ、三温糖180ｇ
砂糖 ２０ｇ
◎砂糖・サラダ油(バター)・牛乳 各30g
しじみの佃煮 ７０ｇ~　好きなだけ
ごぼう 約１／３本
きゅうり(斜め切り) 1本
味のり（極） １パック
水 800cc
だしの素 ひとつまみ
だし汁 大さじ2
栗甘露煮 ８・９粒入り
人参 1本
シナモン 適宜
玉ねぎ １キロ
さつまいも 120ｇ（1/3本）
無塩バター（ケーキ用マーガリン） １００ｇ
塩 ゆでるのに使う適量
ごぼう 中約10センチ
デミグラス缶 １/2缶
木綿豆腐 1/4丁(100g)
水（★） 1リットル
豚薄切り 200g
卵 Ｌサイズ　10個（Ｍサイズなら12個）
お好みの具‥‥納豆 1P
塩鮭 2切れ
ホームパイ お好きな量
さやいんげん 5本〜7本
コーン ３０グラム
卵 ２ケ
めかぶ １パック
ごま油 大匙１／２
醤油 小さじ１／３
スライスチーズ １枚
☆パン粉 大さじ６
里芋 大８個くらい
お正月の栗きんとんの残り 栗 2コ　きんとん 適量(栗が無くてもOK)
生クリーム（またはコーヒーフレッシュ） 15～25cc
人参 ４/1本
ピーナッツペースト（無糖） 大さじ2
強力粉 ２０ｇ
さつま揚げ ２枚
水 490cc
塩＆胡椒 適当
めんたいスパゲッティーの素、海苔 一袋
GABAN味付塩コショー・スモーク風味 むね肉３枚で計12g～15g
ごぼう 1/2本
生ﾊﾑ 餅1個に対して2枚
すりおろしたレンコン 小容器半分強
●水 ４００cc
ペペロンチーノのパスタソース おおさじ1
スイートバジル 10枚くらい
ジャガイモ 中1/2個（60グラム）
ヨーグルト 200cc
★ベーキングパウダー 小さじ半分
塩 適量
トマトジュース 〜100ml
栗の甘露煮 200g
冷凍むきエビ お好きな分量
栗の甘露煮 ８個
バナナ １/２本(好きなだけ)
長ネギ １本
砂糖 大さじ２強
玉ねぎ 大1コ
セロリ 細め１本
牛乳 １５０cc
デュラムセモリナ粉 75ｇ
栗の甘露煮 150ｇ
玉ねぎ 1個
とろけるチーズ 適量
にんじん 花型12枚
小麦粉 120㌘
おから 250g
玉ねぎ １／２個
のり お好きなだけ
牛乳（成分無調整） 缶に２杯
牛乳 200cc
アーモンド 製菓用、刻んであるもの１袋
マーガリン 適量
水 カップ2
ホタテ貝柱（刺身用） ５個
ポーク（スパム）缶または豚肉など １００g
だし汁 １００ｃｃ
豚細切れ肉 150g
◎大葉 ５枚程度
ほうれん草（小） ２～３束（７０ｇ）
塩麹（ＩＤ：６３７７８３） 大さじ２
タピオカ粉 ２０ｇ
タラコ（小さいもの） １/２腹（１本）
黒豆（好きなだけ） 好きなだけ
長ねぎ 1本
とろけるチーズ １枚
砂糖 50g
砂糖 ３０ｇ
みかん 数粒
ジャガ芋（北あかり） ２個
レンズ豆等、豆類(茹でる) 適量
味付け海苔　（ニコニコ海苔「極」使用） １パック（8切り×8枚）
昆布 1枚
田作り レシピ参照
◎砂糖 10ｸﾞﾗﾑ
卵 1個
ゴボウ 1/4本程度
塩 少々
ニンジン 1本
だしつゆ 薄めで一杯分
人参（あれば金時人参） 50～60g
豚骨 2本
酒 少量
とりもも肉 大２枚
味覇（ウェイパァ） 小さじ２
はんぺん 1枚
ご飯 １膳
きゅうり 1本
市販のアンチョビペースト 10～13cm
にんじん 少し
ベーコン ５×１０ｃｍ大１枚
製菓用マーガリン・バター ４０ｇ
鮭 1切れ
にんじん 大根の量の２割分
玉ねぎ（1/6カット） 2個
ごはん 適量
大根 適量
バター 10ｇ
ジャム 好きなだけ
ホールコーン缶詰 １缶
ブロッコリー 適量
にんじん １本
ベビーリーフ パック3分の１ぐらい
黒豆煮汁 ２００～２５０ｃｃ
ニンジン 半分（お好みで調節）
○薄力粉 ５０ｇ
水 お餅がかぶる位
切りもち 2個
砂糖 150グラム～
ベーコン ２枚
お酒 大さじ1
ニラ 数本※おこのみ
醤油 大さじ　１
ハム（薄切りロースハムなど） 8枚位
牡蠣 1パック
○ケチャップ 大さじ3
お醤油 カップ1/2
鶏ひき肉 150ｇ
酢 大さじ3
アーモンドプードル ３０ｇ
無塩バター ２００ｸﾞﾗﾑ
にんじん 1/4本　短冊切り
豚バラ肉（お好きな部位でOK） 200グラム
みかん缶 １缶
■水 カップ10
マヨネーズ 大匙１
ホールトマト缶詰 2パウンド3オンス(992ｇ)入り一缶
トマト でかいの1個
サーモン １切れ
にんじん（無くても可） １/３個
伊達巻  レシピID：504173 
玉ねぎ 1個
レタス 2枚
マヨネーズ 大さじ２
砂糖 大３
砂糖 ２５ｇ
鶏肉（骨付きのもも肉が最適） 250グラム程度
小麦粉 大さじ３
クリームチーズ 100g
溶き卵（Ｌサイズ） １／２個
生クリーム ２５０ｍｌ
すり胡麻 大さじ２
●醤油 大さじ５
白玉粉またはもち粉 適量
じゃがいも 中2個
きなこ １０ｇ
酒 大さじ１
※砂糖 150~300ｇ（私はいつも150です。）
ねぎ（青い部分） 一本分
紅玉 ３個
塩 少々
オリーブ（塩漬けを使いました） ４
大根 ５ｃｍ（太めな短冊切り）
グラニュー糖 ９０ｇ
ニッスイおさかなのソーセージ 1本
☆だし汁 1カップ
◆薄力粉 50g
ウインナーなどお好みで 適量
ザラメ砂糖 １/２カップ
牛蒡 ２本
コーンフレーク（プレーン） ３０ｇ
ピザ用チーズ お好みの量
豚肉の薄切り 8枚
鶏肉（ももなど） 100g
お酢 カップ１
クリームチーズ カレースプーン３杯くらい
鶏そぼろ 130g
栗きんとん 大2
三温糖 大さじ３
だし汁 ２００cc
プレーンヨーグルト 100cc
マヨネーズ 130ｇ
白だし(【ヤマキ割烹白だし】のことデス) カップ1/2(100cc)
はんぺん（紀文） 大１個
片栗粉 20ｇ
にんにく（みじんぎり） 3～4かけ
砂糖 １２０グラム
とろけるチーズ 好きなだけ
人参 適量
　★挽き肉（牛豚合挽き） 250ｇ
人参 1/2本
*砂糖 150g
醤油 ５０ｃｃ
にんにく 小さじ半分
筑前煮残り（汁も使用する） どんぶり半分位
大根おろし 適宜
○マヨネーズ 大さじ2
マシュマロ 好きなだけ
きなこ 大さじ２～３
○みりん カップ1杯
ホワイトリカー 200cc
きなこ 大さじ３
水 ５カップ
煮豆残り 適宜
赤ワイン ２カップ
ホワイトリカー 200ccぐらい
またこちらでも  レシピID：318554 で作った大福
わさび 好きなだけ♥
キャベツ １００ｇ
醤油 小さじ１
糸こんにゃく １袋
にんじん 1/4～1/2本くらい
醤油 ７滴ほど
A　玉ねぎ（すりおろし） ２００ｇ
豚挽き肉 100ｇ
ケーキ用マーガリン １００ｇ
冷凍パイシート 2枚
ホットケーキミックス １５０ｇ
いか １杯
つまようじ 1本
和風だし汁 600cc
豚バラ肉 ２枚
すき焼き用牛肉 10枚くらい
水 560mlくらい
にんにく １個
