■水 500ml
粉チーズ 適量
だしの素 ひとつまみ
鰹節 ひとつかみ
サラダ油 適量
★パスタ［1人分］ペンネなど 50gほど
バター 大さじ１
植物油 15g
すりごま 小さじ２
おろしにんにく 小1
＊残りご飯 一膳分
ガムシロップ 1個
薄口醤油（普通の醤油でも可） 大さじ3
●しょうゆ 大さじ２分の１
玉ねぎ 1/2個
蒟蒻 半分
生姜 小さじ2
オレオクッキー ６個
●片栗粉 適宜
ぽん酢 大さじ1
塩 適量
お酢 大１
ナッツ類(お好きな物をどうぞ) お好みで適量
ヨーグルト 大さじ3
★生クリーム 大さじ3
生クリーム 100ｍｌ
醤油 大さじ1
☆砂糖 小さじ１～２
　*塩 ひとつまみ
しょうゆ・砂糖 各大さじ4
●片栗粉 小さじ1を水でといておく
●しお、こしょう 少々
バナナ（少し柔らかめ） ２００ｇ
●水 400ml
サラダ油 小さじ１
B　味噌・醤油・砂糖 各大さじ１
しらす 大さじ４
＊しょうゆ 大４
カレー粉 適量
クレイジーソルト 適量
酢 小2
●マヨネーズ 大2
コニャック 大１
☆砂糖☆ 小さじ１
塩 少々
ドライイースト ３ｇ
小麦粉 適量
酒 大さじ１
ザーサイ（桃屋）（細切りに） 気分で半分～１瓶♪
＠醤油 大1と1/3
サニーレタス 適量
☆砂糖 ほんの少し
油 小2
オリーブオイル 大1
ハム 10枚
牛乳 30ｃｃ
★砂糖 大1
♪牛乳 大１
☆鶏肉 胸肉半～１枚
にんにく  一片
ウェイパー（なければ中華だしか塩でも） 小さじ１　　（小さじ１/２）
酒 小さじ２
とりガラスープの素 小1
シナモン お好みで
塩 適量
だしのもと（トリガラスープのもとや韓国の「タシダ」など） 小さじ１
醤油 小さじ半分
生クリーム ６５ｇ
ニンニク １かけ
●醤油 小さじ1
パクチー 1束
◎酒 大１
酒 少々
クッキングペーパー （焼けた後取り出しやすいように、型の底にひきます）一枚
◎ケチャップ 大さじ２
バター 25グラム
固形スープの素 1個
塩 適量
◆大根おろし、大葉 適宜
レーズン ８０ｇ（お好みで）
シエロオリーブオイル 大2
コンソメ ５グラム
バジル粉 適量
くるみ 適宜
ごま油 適量
B、卵白 2/1個分
コンソメ 小さじ1杯
焼きエビ ２～４尾
鰹節 少々
お好みのパスタ 1,5人分
※ナツメグ・黒こしょう・ガーリックパウダー 各少々
ケトリング用　湯 ２Ｌ
ｺﾝﾆｬｸ 200g
水溶き片栗粉 小さじ1
お好きな野菜（今回はほうれん草とパプリカ） （マヨネーズ大さじ1）
胡椒 少々
青ねぎ 3～4本
レタス、水菜、セロリなどサラダ野菜 たくさん
醤油 大さじ２
カレー粉 大さじ2
塩 少々
砂糖 5ｃｃ
★生姜すりおろし 1カケ分
●にんにく(潰して) １かけ
ドライパセリ 適宜
★水 125ｃｃ
サラダ油 適量
こしょう 少々
卵の黄身 1個分
ドライイースト 3g
あさつき（or ニラ） ３，４本
人参 2cm
おろしにんにく 好みの量で
温泉卵 お好みで
ＥＶオリーブ油 大匙1
刻みチョコレート 適量
油揚げ お好みで
※酒 大さじ3
ごま油 小さじ２
B薄力粉 100g
マヨネーズ お好みで
Ｃ．塩 約小匙3分の1
卵黄 3個分
砂糖 小さじ１
◎トマトケチャップ 大さじ1強
レタス 半玉
油 大さじ１／２
酒 小さじ1
椎茸 大4個
醤油 大匙1/2
水 500CCぐらい
サラダ油 大２
☆酒 小さじ1
シチュールー 170g
金ゴマ＆ごま油 お好みで少々
油 大さじ1　（玉ねぎ+ニンニク炒め用）
にんにく（おろす） 1/2かけ
ソーセージ 3～4本（お好みで）
ピザ用チーズ 60g～
シイタケ 4つ
オリーブオイル 適量
かつおぶし ひとつかみ
●酒 小さじ1
黒こしょう（あらびき） 少々
そのほか家にある野菜を適当に 適量
こしょう 少々
塩、胡椒 少々
ブロッコリー 50g
紅玉 １個
豆乳 ２００ｃｃ
★砂糖 大さじ２弱
塩 少々
●しょうが 1/2片（すりおろし）
◎パセリ等 お好みで
油 揚げ用
　　牛乳 20ml
醤油 大さじ３
炒り胡麻 1握り
●酒 大2
塩コショウ 少々
サラダ油 適量
●みりん 大1
カリッコリー、ブロッコリー ４分の１
水 700ｃｃ
サラダ油 少々
◎・卵 １個
ゴマ油 少量
砂糖 25g
醤油 大さじ３
タマネギ 中１個
塩 小さじ1/2
りんご 1個
◎白いんげん豆（茹でたもの） 1/2～1cup
酒 大さじ１
Ｃ　砂糖 小さじ２
☆片栗粉 大1
胡椒 お好みで
☆コチュジャン 大１
オリーブオイル 大匙1・1/2
塩 適量
だし汁 １００ｃｃ
みりん 大さじ２
しょうが（チューブ） １cm
塩 少々
＊耐糖性ドライイースト 3g
。。。クランブル。。。 。。。。。。
塩・コショウ 少々
にんじん 3㎝
てんかす（揚げ玉） 大さじ３～４
ホワイトチョコレート ９０ｇ（板チョコ約２枚ぶん）　／１３５ｇ
卵 M玉1個
長ねぎ 1本
★油揚げ 半分〜1枚(短冊切り)
胡椒 少々
卵 ３個
バター 10g
栗きんとん ３００～４００ｇ
塩、胡椒 少々
水 360ml
水＋和風顆粒だし ５０ｃｃ＋大さじ１
コンソメ 1個
醤油・みりん・酒 かく大さじ２
ニンジン 1本
みりん 大さじ１．５
牛薄切り肉（切り落としなど） 300～400ｇ
●砂糖（またはみりん） 小1／2（みりんは小１）
バター（常温に） 10ｇ
グラニュー糖 ６５ｇ
酒 小さじ1
酒 ２カップ
◎水 適量
★オイスターソース 大1
醤油 大さじ１
塩コショウ 少々
●しょうゆ 大１
固形コンソメ 2個
バター 10ｇ
黒豆 60ｇ
クリームチーズ ２５０ｇ
＊コンソメ 小さじ１
水菜 少し
水菜 1株
（あれば）粉末ガーリック 少量
a.昆布のもどし汁 300cc
塩 一つまみ
☆柚子胡椒 ティースプーンの先に1/3程度
砂糖 小1
とろけるチーズ 適量
薬味ネギ 適量
バター 適量
椎茸 大5個
マヨネーズ 適宜
☆お砂糖 大２～２ 1/2
人参（一口小の大きさに切って） 中１本
ベーコン ２-3枚
オリーブオイル 大さじ2＋小さじ2
バター ３０ｇ
◇こしょう お好みで
刻み海苔 適量
サラダ油 適量
*ドライイースト 4g
オリーブオイル 50ｃｃ
だし １０００ｃｃ
○卵 2ｺ
にんじん １本
◎セロリ 2本
しょうが、にんにくみじん切り 各半片
塩胡椒 適宜
＊すりゴマ 小匙1
○ラム酒 小さじ２
●砂糖 小１/２
※味の素 少々
上白糖またはグラニュー糖 30g
濃口醤油 大さじ1
●本だしの素(顆粒) 小2
シエロ・オリーブオイル 大さじ1
しょうゆ 大1～2
★ラム酒(お好みで） 大さじ1
塩コショウ 少々
おろしにんにく 小さじ1/2
砂糖 70～80ｇ
（飾り用）粉砂糖 適量（お好みで）
本だし       大さじ1
牛乳 大さじ1/2強
バター ２０グラム
ﾊﾞﾀｰ(皿に塗る用) 適量
塩 2つまみ
ごま油 小匙2杯
三つ葉 4本
牛乳 大さじ1/2
だし汁 2カップ
水と卵１個を合わせて ２００ｇ
★塩 小2/3
水 少量
●水 120cc
★みりん 大さじ１
☆しょうゆ 大さじ１
みりん 大匙1
みりん 80ml
　・スキムミルク（あれば。無ければ少量の牛乳） 小さじ2ほど
しょうゆ 大さじ2
カイワレ 適量
ニンニク ２～３カケ
●しめじ(お好きなきのこ） １／４袋
バター 大匙3
ツナ 1/4缶
　わさび醤油 適宜
サラダ油 大さじ１
胡麻油  ﾃｨｰｽﾌﾟｰﾝ１杯
塩 小さじ1/2
米粉 小さじ1
粉砂糖 適量
☆薄力粉 ７０ｇ
バジル（生でもドライでも） 適量
じゃがいも ２個
☆パン粉 1/2cup
オイスターソース  大２
スライスチーズ ２枚
生姜すりおろし 少々
七味唐からし 適量
酒 大さじ１
ご飯 適量
バター 10g
小麦粉 大さじ２～
☆酒 大さじ2
卵黄 ２こ分
酒 大さじ４
固形スープの素（コンソメ） ２個
コンソメ 小さじ２～３
☆お醤油かめんつゆ 小さじ１～２
ハチミツ(半分を水飴にして頂いたら更に◎です) 20グラム...10%
ﾊﾞﾀｰ 少1
小ねぎ 適量
こし餡（なければつぶ餡） １２０ｇ
カラメル（９５３９２１） 大匙１
玉ねぎ 1／4個
ケトリング用　湯 ２Ｌ
☆味噌 大さじ１
シーチキン ⅔個
☆ﾜｻﾋﾞ 好みの辛さで
シメジ １/２株
中華スープの素 小さじ2
バター 10ｇ
☆ねぎ ２本
豚バラ肉 130ｇ
　大葉 ５枚
お好みで醤油 小さじ1～2
タカの爪 少々
いりゴマ 適量
塩 適宜
お好みソース 適量
水 １カップ
ケチャップ ごはんがオレンジ色になるくらい
七味唐辛子 お好みで
ジャガイモ １個
☆酒・みりん 各25ml
純ココア〈コーティング用） １００ｇ
砂糖 50ｇ
めんつゆ・酒・水 各大１
水溶き片栗粉 適量
トマトジュース 小1缶
片栗粉 大さじ 3 1/2
★胡椒 適量
ピーナッツ（松の実、くるみなどでもOK） 適量
水 大さじ２
●水 3カップ
A　薄力粉 35g
＊味の素の本だし 小さじ1/2
卵 1個
くるみ 45～50g
ＢＰ 小１
薄力粉 大さじ1
★水 大さじ5
■片栗粉 小さじ1/2
卵 １個
食紅 少々
カレー粉 小0.5～
マヨネーズ 大匙3
★おろしにんにく １ｶｹ
おまめさん 一つ
ラズベリー ２分の１カップ
中華スープの素 小さじ1
プチトマト 4個
錦糸たまご 2個
うすあげ 一枚
塩 小1/3
◆薄力粉 大さじ３
塩こしょう 少々
塩 大さじ1弱
レモン汁 小さじ２
＊干し椎茸 3個
牛乳 大さじ2
　豚肉 ２～４枚
☆だし汁 500cc
醤油 小１
いかそうめん お好みで（風味アップでおすすめ）
★にんにく チューブで１～２センチ
◆オリーブオイル  少々
小麦粉（まぶし用） 適量
ごま油、塩、味の素、しょうゆ 少々
砂糖 ６０ｇ
◯キャベツ（千切り） ２枚
粉チーズ 適量
バター、サラダ油 各大匙1
めんつゆ(ストレート) 適量
ごはん 茶碗２杯分
卵 ６個
ケチャップ お好み
粉チーズ 小２
・塩 好みで…
●酢 小2
♪ごま油 適量
☆ポン酢 大2
みりん 大さじ1
C春菊 1/4束
○鷹の爪(種を除き小口切りにしたもの) 1本分
◎水 少々
☆砂糖 大さじ２
しょうゆ 適量
●たまねぎ １/２個
抹茶パウダー（仕上げ用） 適量
無糖ヨーグルト 大さじ１
カゴメトマトジュース 2缶
水 適宜
しょうゆ 少々
パン粉 適量
7-11　香り薫るごま油　@278- 少々
★塩 少々
塩・こしょう 少々
はちみつ又は砂糖 お好みで
酒 少々
ゴマ 大さじ1
★こいくちしょうゆ 大さじ１
味塩 小匙１
タカラ本みりん 大２
春雨 40g
●コンソメ（キューブ） １/２個
フレンチドレッシング 適量
しろ、黒ごま 適量
とうふ 1/2丁
★ごま油 大さじ１
パセリ 少々
♪ｺﾝｿﾒ 2個
しょうゆ 適量
　　片栗粉 大さじ１
ごま 適量
塩コショー 少々
和風だし 適量
※　醤油 大さじ３
　みりん 大さじ１
★顆粒コンソメ 3ｇ
ごま油  大さじ１
たまねぎ １コ
a　塩 小さじ２/３
●酒 大さじ１
焼肉のタレ 適量
◆オリーブオイル 大さじ１／２
薄口醤油 小さじ１
☆バニラエクストラクト 少々
にんにく １片
赤ワイン 大さじ1
塩 小さじ１/２
●塩 小さじ1/4～
鷹の爪 ０．１グラム
米 １．５合
☆バニラエクストラクト 小1
サラダ油 適量
ニンジン 1/2
酢 小さじ2
水 400ml
＊ブラックペッパー 適量
紅茶 ４g（ティーバックで）
★生クリーム or 牛乳 大さじ 2杯
塩コショウ 少々
塩・胡椒 適量
水 大さじ4
塩・こしょう・パセリ 適宜
☆ シナモン 小さじ１／２
ポン酢 小さじ1
コショウ 少々
牛乳 135ml
＊みりん 大さじ１/２
オリーブオイル 大さじ２杯
酒 大さじ１
砂糖 小さじ２杯
餃子の皮 約４０枚
油（我が家はオリーブオイル） 少々
コチュジャン 大さじ2杯
揚げ油 適宜
卵白 3個
塩・コショウ 適量
味噌 大１
サラダ油 少々
小麦粉 1カップ
★ケチャップ 大さじ３
★酒 大さじ1
コンソメ 1個
★しょうゆ 大さじ3
揚げ油 適宜
水 ４００ｃｃ
＊　塩胡椒 少々
マンゴー 1/2個
卵黄 1個分
片栗粉 小2
かぶ １～２個
★塩コショウ 適量
　※だし ５カップ
トマトソース 100g
牛乳 １８０ｃｃ～１９０ｃｃ
ケチャップ 適量
シナモン 少々
醤油 大さじ４
ハーゲンダッツミニカップ・バニラ 1個（120ml）
牛乳 1/4カップ
〇ナッツ類 ６０g
☆酢 小さじ２分の１
☆　オイスターソース 大さじ２
干し椎茸の戻し汁 ５０ｃｃ
お砂糖 大さじ2
★酒 大さじ２
■酒 大１
＊ポン酢 大さじ３
＊砂糖 大さじ１
塩コショウ・ゴマ 適量
酒 大さじ1.5
オリーブオイル 少々
水溶き片栗粉 適量
◎ごま油 小さじ1/2
★生姜すりおろし 1カケ分
りんご 大1個
粉チーズ 好きなだけ
牛乳 40cc
◎適当にきのこや残り野菜を あまり多くないようにね
市販のミニシュークリーム お好きなだけ
小口ねぎ お好みで
牡蠣 ２パック（１５個くらい）
パン粉 少々
バナナ ２本（輪切り）
■ゴマ油 適量
◎砂糖 小さじ２
万能ネギ 適量
ゼラチン 4ｇ
中華ガラスープ 小さじ２
ラム酒又はブランデー 大さじ1
打ち粉 適量
パセリ＆クルトン お好みで
●ドライフルーツ 100g
里芋(茹でて皮を剥いて) 約150g
塩 適量
●牛乳 ５０ｃｃ
砂糖 大さじ２
塩 少々
オイスターソース 大１/２
レモンの皮 １個分
卵 １こ
砂糖 大さじ3
片栗粉 大3～4
揚げ用片栗粉 適量
白ワイン 300ml
酒・みりん 各大さじ1
卵 １/２個
パプリカ 1個
サラダ油 大さじ１
パルメザンチーズ 適量
☆マヨネーズ 大さじ3～4
塩 小さじ1/4
☆ケチャップ 　　　　　　大３
●シエロエキストラバージンオリーブオイル 大さじ１
お醤油 小1/2
▼酒 大さじ１
　砂糖 ２つまみ
水 適量
◎ウィスターソース 大さじ２
椎茸、マイタケ等（余ってたら） 適量
ぬるま湯 ７５ｃｃ
★水 １２５ｍｌ
にんにく １片スライスで
塩胡椒 お好みで
紅茶リキュール 小さじ2
牛乳 100ml
塩・こしょう 少々
オリーブオイル 大１
★酒 小さじ２
水 50ｃｃ
ゴマ 少々
生クリーム 少々
☆サラダ油 大1/2
プレーンヨーグルト 大さじ２
●みりん 大２
オリーブオイルまたはサラダ油 少々
☆ランプフィッシュ（あれば☆ 適量
マヨネーズ 適量
コチュジャン 小さじ1
☆みりん 大さじ1
★塩 適量
卵 1個
ゴマ油 大さじ1
