■酒 40ml
シエロオリーブオイル 大さじ１杯
ゴマ油 大さじ1
ねぎ(青ねぎ・万能ねぎ) 適量
鶏ガラスープ素 小匙２
白菜 1/6株
●ウスターソース 大さじ２
塩 少々
しめじ 1/2株
★おろしにんにく １片
鶏がらスープの素 適量
　　水 大さじ１
※　酒 50ｃｃ
　酒 小さじ１
★牛乳 大さじ1
オリーブオイル 150ml
a　黒コショウ 少々
●砂糖 小さじ1/2
にんにく（すりおろし） 適量
◆かつおだし汁 ４０ＣＣ
たこ 適量
豆乳生クリーム １パック
大根 １本
青ねぎの小口切り 大さじ１/２
ごま油 適量
水（湯） １カップ
シメジ 半パック
だしの素 小さじ1
★マヨネーズ 大さじ 1杯
水溶き小麦粉 適量
☆ ラム酒 小さじ１
ごま油 大さじ1
ぬるま湯 135ml
＊酒 大さじ１/２
パスタを茹でた茹で汁 ２カップほど
オイスターソース 大さじ２
ブイヨンブロック ２個
サラダ油 適量
韓国唐辛子粉 大さじ1杯
塩・コショ 適宜
砂糖 15g
だしの素 小１～２
白ワイン 大さじ３
片栗粉 1カップ
★バジル 小さじ２
★みりん 大さじ1
生クリーム 30～50ml
★酒 大さじ1弱
☆鶏ガラスープ 大さじ１
ドライレーズン 適量（お好みならフィリング用に）
いりごま 適量
サラダ油 大1（☆印野菜を炒めるため）＋適量（ハンバーグを焼くため）
薄揚げ ２枚
　※淡口醤油 大１
EXオリーヴオイル 大さじ2
黒豆＆甘納豆など お好みで
パセリ 適量
黒酢 大さじ４
苺 5個
シナモン お好みで
☆しょうゆ 少々（風味付け程度）
☆　片栗粉 大さじ１/２
●ウェイパー中華だし（又は鶏がらだし） 小さじ２
★醤油 大さじ３
■鶏がらスープ（顆粒） 大１
＊コチュジャン 小さじ１弱
＊醤油 大さじ１
ラー油・ゴマ油 お好みで適量
薄口しょうゆ 小さじ2
片栗粉 適量
★にんにくすりおろし 1カケ分
グラニュー糖 30g
バター 小匙２分の１
バター 20g
卵（カスタードクリーム用） １個
ごま油 お好みで
片栗粉 適量
溶かしバター 大さじ1
グラニュー糖 大さじ２
◎塩 少々
C　生クリーム 50ｃｃ
とろけるチーズ（ピザ用チーズ） １～２枚分（ひとつかみ）
米粉 適量
●グランマルニエ（ラム酒・ブランデーでも可） 100cc
☆クラッカー 約100g
●食紅 好みで微量
胡椒 少々
鶏ガラ 大２
塩・コショウ 少々
塩 少々
〇タマネギ 小1個
※お好みで水溶き片栗粉 適量
ホールトマト缶 1缶
水 大さじ1
ねぎ 1本
きゃべつ ４分の１
オリーブオイル 適量
☆牛乳 大さじ1強
胡椒 適量
☆お好み焼きソース 　　　　　　大３
●ポン酢 大さじ２
おかか 適量
片栗粉＋（水） 大さじ２＋（大さじ２）
　小麦粉、卵、パン粉 適量
◎オリーブオイル 大さじ４
マロニー（余ってたら） 適量
くりきんとん 適量
★水溶き片栗粉 少々
バナナ（よく熟したもの） 1本
にんにく(スライス） 一片
★みりん 小さじ２
ドライイースト 3ｇ
一味とうがらし 少々
☆ごま油 大1/2
レモン汁 小さじ１/２
●水 大２
塩 少々
塩 適量
ごま油 小さじ1/2
☆醤油 大さじ3と1／2
★黒胡椒 適量
水 75ｃｃ
酒 大さじ1
☆塩 ひとつまみ
バター ２０ｇ
ゴマ油 大さじ1
☆酒 大さじ２
鰹節 適量
塩 適量
◎砂糖 小1/2
ご飯 2人分
塩 少々
レーズン 50g
◎みりん 小さじ１
コンソメ 小さじ1＋1/2～
ピーマン １個
マヨネーズ 適量
酢 大さじ４
酒 大匙3
酢  大さじ２
醤油 大匙３
砂糖 ２０グラム
料理酒 適量
洋風だし（コンソメスープ） 50ｃｃ（コンソメの素を水で溶いたもの）
みりん 大さじ１
レモン汁 少量
■水 大さじ４
◎しょうゆ 大さじ３～４
　　　　　タカのつめ 1/2～１本
黒胡椒 ０．５グラム
★醤油 小１
パセリ（刻む） 大さじ2～3
酒 大さじ１
　　牛乳 ２００ｃｃ
水 お鍋にひたひたより少なめ
☆酒 大匙２
たまねぎ 1/4個
ケトリング用　湯 ２Ｌ
炊いた雑穀米 茶碗1杯
塩 少々
バター お好み
醤油 好みの量
●砂糖 大さじ１
・みりん 小1
パネトーネマザー(ドライイースト） １２ｇ(ドライイーストなら４ｇ）
パセリ 適量
バター １５ｇ
チーズ（今回はレッドチェダー）orサワークリーム＋塩胡椒 お好みで
　　酒 大さじ１
醤油 大さじ1/2
塩コショウ 適量
味噌 １０ｇ
　　・椎茸(スライス) 1枚
◎砂糖 １つまみ
水 150ＣＣ
水 100ｃｃ
サニーレタス 2枚
パン粉 適宜
☆おろし生姜 小さじ１（お好みで）
Ａ　コーン 適量
◎白ワイン（なければいりません） 大さじ１～２
粒マスタード 小さじ1/2
酒 大匙3
★バセリ 少々
水 70cc
ねりからし（チューブ） 適量
市販のカレールー（砕いて） ２かけ
酢（あればワインビネガー） 120cc
豆腐 半丁
・ウスターソース 大3
デザートホイップ（植物性） 適宜
おろし生姜 お好みで
サラダ油 大さじ１
ﾀﾏﾈｷﾞ １／４個
トマト １／２～１個
3倍濃縮めんつゆ：水 1：3を200ｃｃ
トマト水煮完(ホール) 250g
塩、胡椒 適量
パセリ 少々
バジル 少々
■とんかつソース 小さじ1　（小さじ1.5）
片栗粉 小さじ3/2
バター 10g
★アーモンドプードル ９０ｇ
ベーキングパウダー 小さじ1.5杯
鷹の爪 1本
●酢 大さじ２
白ワイン 大さじ１
カレー粉 小1/2~1
ソース 大さじ２．５
ピザ用チーズ ２００ｇ
ゴマ油、オリーブオイル、塩、片栗粉 適量
○酒 小さじ1
ごま油 適量
ブイヨン １個
水 小さじ1
レーズン ４０ｇ
塩 適量
サンドイッチ用食パン 4枚
春巻きの皮 6枚
◎高菜漬け 80g
ご飯 適量
クリームチーズ １００ｇ
塩、こしょう 各少々
トマト角切り １個
パルミジャーノレッジャーノ 少量
しょうゆ 大さじ2.5
塩、こしょう 各少々
※砂糖 大さじ2
水菜 適量
★アーモンドエッセンス（バニラエッセンス） 少々
塩 少々
コンソメキューブ 2個
チキンストック １カップ
水溶き片栗粉 大さじ１杯分
●おかゆ ごはん30g分をお湯でふやかしたもの
キャラメルチョコチップ 50g
オイスターソース 大さじ1/2～
ローリエ １枚
オリーブ油 適宜
ビスケット 100グラム
＊砂糖 一つまみ
　酢 100ｃｃ
＊しょうがの搾り汁 小１
★旨かたれ 50ｍｌ
塩・コショウ 少々
☆だしの素 大さじ1
オールスパイス 小さじ0.7
■ブラックペッパー お好みで
☆酒 大1/2
醤油 大匙3
◎酒 大1
★しょうゆ 大さじ１〜２
○しょうゆ 小さじ１
とうがらし（輪切り） 少々
しょうが（チューブ） 大さじ１
小麦粉 大さじ２
B／水 カップ　1／4
ギョウザの皮（市販のものorレシピ内参照） 30枚
Ｂ卵 １個
★酒 大さじ２杯
バター １切れ(１０ｇ)
★砂糖 小さじ１～2
オリーブオイル(仕上げ用) 適宜
水：片栗粉 大さじ１ずつ
・ＢＰ 小さじ１
にんにくすりおろし 小さじ １/２
レタス 半玉
★砂糖 小さじ1
鶏がらス～プの素 ７ｇ
ごま油 小さじ２（菜炒め用）＋小さじ１（仕上げ用）
みりん 大さじ1
ご飯 丼2杯分
ヨーグルト 50-175ｇ
韓国産赤唐辛子（中荒挽きタイプ） 大さじ１強
ココアパウダー（飾り用） 適量
トマト １個
　・しょうゆ・酒 各大さじ2
アイスクリーム 適量
こしょう 少々
塩 少々
B片栗粉 大さじ３
　　ベーキングパウダー 小さじ１弱
にんにく １/２片
　　　砂糖 大さじ１
卵白 適量（硬さを見ながら加える）
薄力粉 １０g
中華だし 好みの量
グリンピース 適宜
白菜 ２枚
日本酒 大さじ１
ルッコラ 1/3袋
ラズベリー（冷凍） 100g
豆板醤   小さじ1〜2
水 2カップ
●みりん 大さじ２
唐辛子の輪切り（大人用） 少々
ウエイパー 適量
カレー粉 大さじ３
酢 大さじ3
にんにく、ブラックペッパー お好みで
レモン汁 大さじ１弱
スタータースパイス （手順に記載）
a 醤油 小さじ１
味付きポン酢 お好み
玉ねぎ 1/8個
にんにく チューブで３ｃｍくらい
酒 30cc
ダシダ(韓国の牛ダシ調味料) 大さじ１/２(味の素で代用可)
牛乳 １００ｃｃ
☆水切り豆腐 1/2丁
酸っぱめのリンゴ 小　3個
薄力粉 １５ｇ
コンソメ 1かけ
ドライパセリ お好みで
ピザ用チーズ ２０ｇ
洋酒（ラム酒やブランデーなど） 大さじ１
しょうゆ 大さじ３～４
自家製苺のコンポート 適宜
バニラエッセンス（なくても可） 少々
星の飾り 各3個
ミガシキ（トイモガラ） 適当に・・（お盆の時のみ）
だしの素 ひとつまみ
ベーキングパウダー 2/3
エシャロット（みじん切り） 大さじ２
◎揚げ油 適量
醤油 大さじ３
▲コチュジャン 小さじ1/2
フレッシュバジル 2カップ
 (今回は230g)
薄力粉 20g
☆水 小さじ１
白菜 ２〜３枚
生姜(薄切り) １かけ
☆オリーブオイル 大さじ1
☆コチュジャン 適量
玉ねぎ・トマト 1/4個
塩・こしょう 適宜
■牛乳 大さじ２
えび（殻つきのもの） 8～10尾
卵 1個
キャベツ 1/4個
水 トマト缶三分の一
☆オリーブ油またはゴマ油 大さじ１
＊ベーキングパウダー 5g
さつま芋の茶巾絞り 茶巾６個分
ウエイパー 大さじ1
小麦粉 4カップ半
さつまいもあん 適量
コンソメ 適宜
　砂糖 大さじ４
●レモンピール（又はレモンの皮のすりおろし） 10g（1個分）
くるみ 90ｇ
サラダ油 小さじ２（まぜる方）
グローブ １個
塩 ひとつまみ
ｸﾘｰﾑｼﾁｭｰのﾙｳ ４ｶｹ位
みつば・餅 好きなだけ
好みの洋酒(ラム*ブランデーetc.無でもOK)...A 5cc(小さじ1)
ケチャップ・とんかつソースなどで・・・ お好みでソースを作る♪
卵（仕上げ用） 適量
★みりん、砂糖 各大さじ1
●酒 大さじ４
レーズン ５０g
水 3.5カップ(調整して下さい)
長ネギ1ｃｍ輪切り 1～2本
折込バター用強力粉 ２ｇ
マッシュルーム（または他のキノコ類） 1パック
生姜 適量
万能ねぎ 飾り用
マシュマロ（鼻用） お好みで
みりん 大さじ１
ホールトマト １缶
★お酢 60ml
粉チーズ お好みで
ケチャップ 適量
○片栗粉 適宜
卵 １個
みりん 大匙1
こしょう 少々
塩麹ID:637783 大さじ3
松の実 適量
卵 1/2個
レモン汁 大さじ1
片栗粉 大さじ1弱
塩 小さじ1/2
豆腐 1丁
マヨネーズ 適量
◎ベーコン ・・・1枚
レモン汁 大さじ１
プロセスチーズ 50～60g
XO醤 小さじ1
　・ナルト ５mm厚　６枚
付け合わせの野菜（パクチー、きゅうり、トマトなど） お好みで適量
●マッシュルーム（缶詰のホールタイプ） １缶
ゆで汁 適量
砂糖 30グラム
◎ケイパー ・・・適量
☆中華スープの素・片栗粉 各　小さじ１
濃口醤油　 大さじ２ 
ココアパウダー 大さじ3（お好み）
カレールー(市販) ５皿分
こしょう 少々
オリーブオイル 適量
★オイスターソース 小さじ１
ヤンニンジャン 小さじ1
★醤油 大2
★オイスターソース 小さじ１
グランマニエ（お好みで・・・） 適量
☆卵黄 1個
★しょうゆ 大さじ３
ガーリックパウダー 小さじ1/2
飾り用ゆで卵 適量
苺 １パック
クミンパウダー ３ｇ
ご飯 茶碗２杯
鳥ガラスープ 2と2/1カップ
粗引き胡椒 お好みで
醤油 大１
●酒 大さじ1
・ローリエ 2枚
★砂糖 大匙1
醤油 おたま２杯
塩 少々
▲醤油 小さじ2/1
コンソメ粒 １～２（お好みで）
小麦粉 適量
＊アスパラガス 3本
塩・こしょう 適量
○醤油 大さじ２～３
バター おおさじ１～１／２ほど 
ﾊﾟｾﾘ  適量
サラダ油(オリーブオイル) 適量
ごぼう １本
マヨネーズ 適量
にんじん（刻んでおく） 1/2本
オリーブオイル 小さじ２
味醂 大さじ４
黒豆 ５０グラム（お好みで）
卵 1個
☆砂糖 大さじ2
ごま油 大1
牛乳 30g
♣コショウ 少々
さつまいも　（おこのみで） １本
小麦粉 適量
レモン汁 大さじ１
顆粒コンソメ  小さじ２ （固形なら１個）
チーズ 適宜
　　薄力粉 ５０ｇ
かつお節 適量
マヨネーズ（お好みで） 大さじ１
水 600ｃｃ
しょうゆ 大さじ2
マヨネーズ 適量
ツナ 1缶
柚子の皮 適量（こまかく切る）
○生クリーム １００ｇ
醤油 大さじ２
ごま油 少々
ローリエ 1枚
〇大根おろし お好きなだけ
コチュジャン 少々
★醤油 大１
出汁 1.5l
水 １１００ｃｃ
●ラー油 お好みで
☆レモン汁（ポッカレモンなど） 大さじ3
片栗粉（＋水） 大さじ１ずつ
★固形コンソメ 1個
にんじん 1/3本
★）卵 室温２個
刻み海苔 少々
A.　酒 大さじ3
ケチャップ 大１
サラダ油 大さじ１〜１半
オイスターソース 大１
レーズン １００g
☆塩 一つまみ
水 大さじ２
おろしショウガ 大さじ１
●みりん 大１
しょうゆ 小さじ1
＊カニ缶(貝柱缶やツナ缶数種類入れると更に美味しい) 1缶
胡麻 大さじ3
醤油 大さじ５～６
生姜 小さじ２
＊みりん 大２
黒豆 お好きなだけ
生姜 ニンニクと同量
●料理酒 少々(気持ち…)
酒 大さじ１
トマトペースト １８グラム入り１本
チョコチップ 50〜100g（好みで）
もち 6個＝200g
砂糖 大さじ2
塩 小さじ1/8
醤油 (ヤマサ鮮度の一滴 特選醤油) 大さじ1くらい
＊ 塩 少々
ココア 適量
　クローブ 小さじ1/2
＊昆布茶（あれば） 小さじ１
グラニュー糖　 小さじ２
ごま油 大さじ1/2
ドライバジル 大さじ２
カレールウ（粉末タイプがオススメ） 30ｇ程度×2袋
●みりん 大さじ4
ごま油 大さじ1
＊メープルシロップ(お好みで) 小さじ1
青ネギ 適宜
★トマトケチャップ 大さじ１
オリーブオイル 適量
塩コショウ 適量
干し海老 大さじ2
●ベーコン 1パック
塩コショウ 少々
◎水 カップ5杯
すりおろしニンニク 適量
鶏ガラスープの素 小さじ1/2
牛乳 １００～１５０ｃｃ
塩コショウ 少量
ベイリーフ １枚
チリソース 小さじ1/2（辛さはお好みで調節してください）
サラダ油 適量
中華味のもと 適量
もやし 50ｇ
☆カレールー☆ 適量
塩コショウ 適宜
大根の葉（無ければほうれん草）　　みじん切り 50グラム
塩、粗挽き黒こしょう 各少々
卵 1/2個
オレガノ 2振り
●ナンプラー 小さじ1
ソース 適量
★オイスターソース 小さじ１／２
●砂糖 ５０グラム
●みりん 大さじ１～２
ソーセージ １２本
●黒こしょう 小さじ1/2
塩コショー 適宜
