うどん(ゆで) 2玉
ドライパセリ（あれば） 少々
カスタードクリーム お好み量
牛乳 大さじ１．５
しょうゆ 大さじ1～2
牛乳 ５０ｃｃ
＊パン粉 大さじ3
牛乳 大2
小麦粉 大さじ1.5
│塩 少々
★砂糖 少々
しいたけ(小) 8個
ねぎ（青い部分） 1本
Ｂ （砂糖 小さじ１、酒 大さじ１、みりん 大さじ１、醤油 大さじ２～３）
パプリカ（黄色かオレンジ色の） １個
豆乳 2カップ
オリーブオイル 67g
●バター 大さじ１
酒 大さじ１
サラダ油 クリーム用大さじ３＆揚げ用
ピザ用チーズ ２０ｇ
５．バジル（ドライ） 適当
ベーキングパウダー 小さじ1
粉ゼラチン ５グラム
ゴマ油 小さじ１
固形ブイヨン 半分
ちんげん菜(ほうれん草でもなんでも良い) 適宜
★リッツ ２５枚
塩 少々
炒り胡麻 小さじ１
※醤油 大さじ2と1/2
レタス ２枚
クレイジーソルト 少々
キャベツ １／８個
すりおろし生姜 大さじ１
めんつゆ 大さじ１
・砂糖 小２
水 150ｃｃ
サラダ油 大さじ２～３
肉 25ｇ
里芋 ３個
えのき 好みで適量
お肉類 今回は豚肉を１００g
水 １．５リットル
豚ミンチ 　２５０ｇ
牛乳（水でもええよ） 1/2cup（100cc程）
油 少々
醤油 適量
三温糖 100g
野菜スープ 大さじ１
にんにく 小さじ１
グレープフルーツ 半分
*本だし（顆粒） …小さじ2
☆中華味の素 小1
★酒 ちょっと多めに
（もちろんちゃんと1番だしをとっても ＯＫなんですよ）
塩、醤油 適量
スポンジ（市販のもので可） 100g
生姜 薄切り２～３枚
鷹の爪 １本
☆豆乳 500ml程度(お好みで量で)
卵 2個
コーン ８０グラム
バター ２０グラム
生いくら（薄塩漬でも可） 60g
だし汁 80cc
※ひき肉 50gくらい
ウェイパーor鶏ガラのもと 大さじ３
しょうゆ・みりん・サラダ油 小さじ1
バルサミコ酢 大さじ２
●砂糖 大さじ２
酒 250㏄
ウインナー(写真は、さつまあげ） 4本
酢 大さじ2
はちみつ 大さじ1.5
鎮江香醋（黒酢）※国内産可 大さじ３　
塩 少々
卵黄 M2個
トマトペースト 1本
塩 小さじ1
にんにく 1かけ
ウエイパー 小匙２
七味唐辛子 適量
塩 小さじ1/3
　砂糖 50ｇ
┌酒 大さじ１/２
■マヨ 大さじ1
砂糖（ツナ用） 小２
強力粉 ２８０ｇ
ガーリックパウダー 少々
ねぎ小口切り １本
バター 1かけ
卵 1個
焼肉のタレ 大匙３
醤油 適宜
酢 大さじ1
ドライイースト ３．５ｇ（３ｇ強という感じ）
●味噌 小さじ1
ミニトマト １０個程度
牛細切れ肉 ５０ｇ
バケットなどのパン 適量
赤ピーマン・ピーマン １～２
★油 小さじ１
★赤唐辛子 適宜
キュウリ ２本
塩こしょう 適量
ミートソース缶 １缶
酒 大さじ１
パセリ（なければなしでもok) 適量
LYLE'S GOLDEN SYRUP(蜂蜜でもOK) 大さじ5
ナス １本
塩・胡椒　醤油 適量
揚げ油 適量
レモン汁 ２～３滴
クレイジーソルト 好みで
オリーブオイル 小さじ１
玉ねぎ ２０ｇ
醤油 ほんの少し
▲お酒 大さじ２
砂糖 ひとつまみ
長ネギ 1/2本
バター １０ｇ
玉ねぎ １/４個（くし型切り）
　エリンギ 大きいの１本
バター ２５ｇ
鷹の爪 少々
ドライチェリー（赤いものなら代用可） 少々
チョコレート 60～100g
甘露煮の栗 5個
しそ １０枚
トマト（お好みで） １個
りんご 1個
☆玉ねぎのみじん切り 1/4個分
舞茸 １パック
油揚げ 1～2枚
水 適量
(いりこだし粉末の場合) 小1.5～2
パスタ(太め) ２人分
オリーブオイル 大匙1
わさび チューブ1cmから2cm程度お好みで
醤油 大匙3
青ネギ 1本（輪切りに）
揚げ油 新しい油の方が仕上がりが良い
卵 1個
EVオイル 大さじ1～
とろけるチーズ 適量
塩 少々
砂糖 大匙3
きざみのり 少々
黒豆 適量
サラダ油 大匙1
高野豆腐 1枚
塩 小さじ１
○マヨネーズ 大1
味醂 70ｃｃ
＊わさび ３ｇ
　マスカルポーネ 200g
うどん 2玉
コショウ 適宜
塩 一振り
ベーキングパウダー 小さじ1/4
卵 １個
☆だし汁 800ｃ
塩・こしょう 適量
塩 少々
マギーブイヨン 1個
塩・こしょう 適量
胡麻 適宜
栗きんとん(ID:707882) ２５０〜３００グラム
●うすくち醤油 小さじ2
＊みりん 大2.5
白ワイン 大匙4
胡椒 少々
塩 ３ｇ
白ワイン 200ml
＊タイム（葉をそぎ落とす） 1本分
○水 大さじ３
ローリエ ２枚
しょうゆ 大匙1/2
油揚げ １／２枚
シーザーサラダドレッシング 小さじ１
生クリーム 約１００ｍｌ
(お好みでマスタード) 適量
◎砂糖 小さじ1/4～1/2
塩コショウ 適量
パプリカ 飾り用
黒豆（残っていれば） 数粒
☆砂糖 大さじ2
ごま油 大さじ１
えび 4尾
野菜（人参・玉葱） みじん切り
油揚げ １／２枚
豆乳（なければ牛乳） 大さじ１
きび砂糖 100g
レモン汁 少々
☆バジル（あれば）（みじんぎり） 一枚
●お酢 大さじ２
オリーブオイル(シエロのExtraVirginoliveOil使用) 大さじ１
塩・胡椒 適量
にんにく（摩り下ろし） 大匙０．５位
ごま油 少々
バニラエッセンス 適量
●片栗粉 小さじ２
砂糖 大さじ1と1/2
サラダ油 大さじ1
ボールチョコ 20粒
みりん（できれば本みりん） 50cc
ごま油 大さじ1
　砂糖 ９ｇ
マッシュルーム缶 1缶
ピザ用チーズ もちが隠れるくらい
水 800～1000ml
しょうが 1カケ
サラダ油 大さじ1
○マヨネーズ 小さじ1
しめじ 1/2パック
★酢 大３
メイプルシロップ 適量
牛乳 卵と合わせて１６０ｇ
スパゲッティー 180～200グラム
砂糖 大さじ3
中華スープの素 小さじ1
砂糖 大さじ6
みりん 大さじ1/2
ごま油 好みの量
ａ　白ワイン(または酒) 大さじ１
かつおぶし 適宜
☆醤油 大さじ2
はちみつ 大さじ1.5（1と1/2）
水 卵黄と合わせて１4０ｃｃ
酒 大さじ１
★はちみつ 小さじ1/2
☆塩、こしょう 適宜
❖バター（無塩） 30g
スパゲティ 200g
カマンベールチーズ １個
◆塩 1つまみ
ねぎ 2本
バター 適量
もやし 一つかみ
味噌 大さじ1～
ウスターソース 適宜
きゅうり 1/2本
砂糖 ２０ｇ
マヨネーズ お好みで（小1-から大１）
☆ニボシ 適量
インスタントドライイースト ３ｇ
☆昆布 適量（１０ｃｍ角1枚くらい）
卵 １個
スライスチーズ（とろけるタイプ） 2枚
ナツメグ・塩コショウ お好みで調整して下さい。）
☆ゴマ油 小２
☆昆布 適量（１０ｃｍ角1枚くらい）
砂糖 大さじ１
青のり 少々
塩 適量
乾燥ナツメ（なくてもよい） １粒
長ネギ 1/2本
●砂糖 大さじ1
白玉粉 １００ｇ
バター 大さじ1
薄力粉 大さじ２位
くるみ（細かく砕いておく） 適量
レモン果汁 少々
塩こしょう 適量
蜂蜜 大さじ１（お好みで調整）
☆バター 小さじ１
生姜（すりおろす） 少々
しめじ １／２～１袋
●薄力粉 １４８ｇ
キャラメル ６～８粒
砂糖 小さじ2
水 適量
鳥ガラスープの素 小さじ3
餅 適量
ピーマン 2個
スライスチーズ １枚
ごま油 小さじ1
しょうが（チューブ） ２㎝
◎サラダ油 大さじ1
黒こしょう 少々
＊ウィンナー 3本
塩 小さじ１
好きな味のジャム 大さじ３ぐらい
パン粉 適量
オリーブオイル 適量
★オリーブオイル 大さじ２
揚げ油 適宜
小ネギ、青菜など お好みで
あれば生バジル 2枚
好みの野菜 適量
酒 大さじ2
チンゲンサイ 小1株
とろけるチーズ(スライス・ピザ用などお好みで) 適量
豚ひき肉 ５０ｇ
ごぼう １本
にんにく（おいしさの決め手はこれ） ４，５切れ
お餅 ６～７個
小麦粉 大匙１
水 カップ1
◎にんにく（スライス） 一片
にら 1/2束
乾燥パン粉 大さじ4ぐらい
★卵 ２個
重曹 小さじ２
薄力粉 35ｇ
ごま油 少々
オイスターソース 大さじ２
いりごま 適量
ケチャップ 大さじ2
こしょう 少々
白ネギ １本～すきなだけ
無塩バター ７０グラム
塩（臭み消しに） 適量
牛乳 カップ1
わさび 適量
焼き海苔 1/4枚
薄力粉 ５０ｇ
☆豆乳 2  2/3 ｶｯﾌﾟ(540ml)
塩 小さじ１/２
いかゲソ（生） １杯分
ブラックペッパー 少々
味噌 大さじ１と３分の１
◎　コンソメキューブ(砕いておく) 1個
卵黄・卵白（分けておく） 各2個分
酒                 大1
　ナツメグ 少量（無くても可）
卵 中3個
粉砂糖 少量
グラニュー糖 ６０ｇ
バター 適度
☆パルメザンチーズ ４０ｇ
ラム酒 30ｇ
○　顆粒だし(かつお) 小さじ１
A. 醤油 小1/3
バター 10g
水 180cc
ニンニク 1かけ(ﾁｭｰﾌﾞなら3ｾﾝﾁ)
こしあん ６０ｇ
牛乳 卵・卵黄と合わせ２７０ｇ
塩+コショー 適宜
★だし汁 お好みで
●だし汁 １C
唐辛子 １本
牛乳 大さじ3
■ＢＰ 小さじ1
人参 1/2本
☆塩 適量
ケチャップ お好みで
片栗粉 適量
塩・胡椒 少々
水 １ℓ
★酒 大さじ3
小麦粉 40グラム
醤油 大さじ１
バター 10ｇ位
★水 適量
しょうゆ 小さじ１/2
（ラム酒 大さじ１～３）
ゴマ油 少々
★コンソメキューブ １個
春雨 二人分
七味唐辛子 適量
ケチャップ トッピング用
スパゲティ 120グラム
ココア 適量
カニカマ　※ ３本
サラダ油 適量
しいたけ ２枚　
水 適量
ブロッコリー 小さじ１～
玉ねぎ １／２個
しょうが お好みで
砂糖 １５g
鷹の爪 1本
BP 小1
低脂肪乳 160ml
ごぼう 1本
コショウ 少々
レモン汁 大さじ2<大さじ1と1/2>
醤油 大さじ1
※　しょうゆ 小さじ１
◎コーヒーリキュール（カルーア使用）（バニラエッセンス） 小さじ1
スイートチリソース 大１
◎黒糖（白糖でも三温糖でも） 100g
みりん 大さじ１
薄力粉 80g
生クリーム １００ｇ
牛乳 １０ｇ
インスタントオートミール 130g
塩(Ａ) 小さじ1
しょうが お好みで
固形スープの素 １個
白みそ 15g
●みりん 大さじ２
ニンニク 1カケ
にんにく 1片
塩、こしょう 適量
●さとう 大さじ３
だしの素 1袋
トマト 1個（種を汁は除く）
バニラエッセンス 3〜お好みで数滴
◎粉末唐辛子又は一味 小匙1/8
★醤油、砂糖 各大さじ１と１／２
七味 お好み
●しょうゆ 大さじ３
醤油 小１
七味 少々
オレンジの絞り汁 125ml
◆茹で汁 おたま半分
しいたけ 6個
Ａ酢 60ｃｃ
しいたけ ３個。
白ゴマ 適量
生クリーム 200ml
塩 小さじ１
A醤油 小さじ1
にんにく 1クローブ
★卵 ３個
チーズ（お好みで） 好きなだけ
ベーキングパウダー 小さじ1/2
★ナツメグ 少々
〇砂糖 ひとつまみ
＊　砂糖 大さじ1
マヨネーズ お好みで
Ａ　砂糖 大さじ３
その他、余り野菜 適宜
◆セージ(ホール)※省略可 6枚位
醤油 小さじ1/2
サラダ油 80cc
水 大さじ２
☆ウェイパー 小さじ1
塩 4g
濃縮だし（白だし・めんつゆでも） 大さじ2（倍率によって）
シメジ １／２パック
a　片栗粉 大さじ１
練りゴマ 大さじ2
ねぎ 2～3本
バター 小さじ1
みかん 飾りに
強力粉 240g(180g)
牛乳 １０ｍｌ
砂糖（三温糖） 大匙3　
さとう お好みで（甘い方がおいしい）
■味醂 大１
冷凍とうもろこしもしくは、ミックスベジタブル 小１袋・・・・だいたい1/２カップを目安
ポッカレモン 数滴
☆イースト 6ｇ（小２）
こしょう 少々
＊酒 大さじ1
練り物（ちくわやさつまあげ） １本又は２枚くらい
人参（すりおろし） １本分
塩こしょう 少々
牛乳（低脂肪乳） 160ml～170ml
牛乳 なくてもいいです
牛乳 100ml
きざみのり 適量
千枚漬け風 カブ1個分
☆すりゴマ 大さじ2
お好きな具材 適量
マヨネーズ 適量
粉チーズ 1/2c
オリーブオイル 大１（大２）
塩コショウ 少々
オリーブオイル 大匙２杯
白ゴマ 適量
柚子の皮を摩り下ろしたもの 1つ分
醤油 少々
しお 適量（味の加減をみて）
えのき ２分の１パック
生姜のしぼり汁 少々
牛乳 大さじ1
大葉 2枚
塩 少々
塩コショウ お好みで
■砂糖・酒・醤油・ごま油・ｵｲｽﾀｰｿｰｽ 各小さじ1
☆しょうゆ 大さじ２
餅取り粉（片栗粉でも可） 適量
☆ニンニクすり下ろし 小１
ごま油 仕上げに少々
古釘 5~10本
酒 少々
★オリーブオイル 大1
★コショウ 少々
ブラックペッパー 適量
ブラックチョコレート 120ｇ
酒・みりん 各大さじ1
いんげん 好きなだけ
塩･コショウ 少々
＊抹茶パウダー 10グラム
水 170ｃｃ
白ゴマ 適宜
小麦粉 ２０グラム
★ﾄﾞﾗｲｲｰｽﾄ 10㌘　
☆ たまねぎ 1/4個
●醤油 大２
砂糖 ４０ｇ
重曹（タンサン） 小１
　ドライパセリ 適宜
ニンニク 1片
乾燥バジル 大さじ1
お好み焼きソース 好きなだけ
パプリカ・マッシュルーム・茄子など お好みで
☆サラダ油 少々
★塩 適量
3コンソメ顆粒 小匙1
ごま油 大2
塩 少々
･塩コショウ 少々
ごま油 少々
※こんにゃく 80g
オレガノ、黒コショウ、ガーリックチップ 適量
☆粒マスタード 小さじ１
強力粉 少々
からし お好みで
ミント（飾りに） 適量
バター 大さじ１強
　みりん 大さじ1
酒 大さじ1
レモングラス ３〜５本
●塩 少々
みょうが 適量
インスタントドライイースト ３ｇ
卵 2個
●醤油 大さじ1
酒 大さじ１
カラメルタブレット（市販品） １２個
砂糖 40ｇ
タラコ（切れ子でもなんでも可） 小1パック
ネギ 白い部分と青い部分　各適量
オリーブオイル 大さじ1
卵 １個
･みりん 中1
合挽ミンチ 500ｇ
★塩 小さじ1/2
塩コショウ 少々
　　砂糖 大２と１/２
※塩 少々
バター 適量
白黒ゴマ（どちらかでも良い） 少々
＊ケチャップ 大匙３ぐらい
醤油 大さじ２
卵 １個
☆みそ 大さじ１と１／２
サラダ油 小さじ２
牛乳 120cc
味醂 大さじ１
油 大さじ１
①塩・こしょう 適宜
赤ワインビネガー（白、レモン果汁でも可） 適宜
卵黄 1個
梅干 ３～４個（大きさで調節）
＊粉末の昆布茶 小さじ1/2
味の素 少々
たまねぎ １個
わさび お好みで
●ケーキ用マーガリン 20グラム
※りんご 3個
砂糖 大さじ２
好きな肉類(ウィンナーとか) 適量
片栗粉 大1/2
バニラエセンス 適量
ごま油 小さじ４
カレーフレーク 大2と1/2
塩、コショー 少々
しょうゆ 小さじ１弱
卵黄 １コ分
ニンジン（小さめ） 1本
薄力粉 １４０ｇ
サラダ用ホウレン草 6枚程度
麺つゆ 大さじ２
＊豆乳 1Cup (お好みの緩さでどうぞ)
めんつゆ（他ドレッシングでも可） 適量
塩胡椒 適宜
低脂肪乳（牛乳） 大さじ２
醤油 適量
★ケチャップ 大匙1
☆ごま油 小さじ2
胡椒 少々
じゃがいも（１ｃｍに切る） １個
ミックスベジタブル カップ3分の２くらい
